date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:00:37	71107/71107	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Mar%202021%2009:00:35%20GMT	https://ngantenstory.id/khairina-elyas2/?u=Lintang+dan+Partner	C:/My%20Web%20Sites/coba/ngantenstory.id/khairina-elyas2/index3873.html	(from )
17:00:37	58200/58200	---MCZ	200	added ('OK')	text/css	etag:W/%2260490d69-e358%22	https://ngantenstory.id/wp-includes/css/dist/block-library/style.min.css?ver=5.7	C:/My%20Web%20Sites/coba/ngantenstory.id/wp-includes/css/dist/block-library/style.mine23c.css	(from https://ngantenstory.id/khairina-elyas2/?u=Lintang+dan+Partner)
17:00:37	3652/3652	---MCZ	200	added ('OK')	text/css	etag:W/%226043c2b7-e44%22	https://ngantenstory.id/wp-content/plugins/wonderplugin-audio/engine/icons/css/mhaudiofont.css?ver=10.6C	C:/My%20Web%20Sites/coba/ngantenstory.id/wp-content/plugins/wonderplugin-audio/engine/icons/css/mhaudiofont9297.css	(from https://ngantenstory.id/khairina-elyas2/?u=Lintang+dan+Partner)
17:00:38	7637/7637	---MCZ	200	added ('OK')	text/css	etag:W/%226043c2b5-1dd5%22	https://ngantenstory.id/wp-content/plugins/popups-for-divi/styles/front.min.css?ver=2.3.6	C:/My%20Web%20Sites/coba/ngantenstory.id/wp-content/plugins/popups-for-divi/styles/front.min9254.css	(from https://ngantenstory.id/khairina-elyas2/?u=Lintang+dan+Partner)
17:00:38	817873/817873	---MCZ	200	added ('OK')	text/css	etag:W/%22600f011b-c7ad1%22	https://ngantenstory.id/wp-content/themes/Divi/style.css?ver=5.7	C:/My%20Web%20Sites/coba/ngantenstory.id/wp-content/themes/Divi/stylee23c.css	(from https://ngantenstory.id/khairina-elyas2/?u=Lintang+dan+Partner)
17:00:38	502/502	---MCZ	200	added ('OK')	text/css	etag:W/%225fc8a0d4-1f6%22	https://ngantenstory.id/wp-content/themes/ngantenstorytheme/style.css?ver=4.7.7	C:/My%20Web%20Sites/coba/ngantenstory.id/wp-content/themes/ngantenstorytheme/style447e.css	(from https://ngantenstory.id/khairina-elyas2/?u=Lintang+dan+Partner)
17:00:38	13231/13231	---MCZ	200	added ('OK')	text/css	etag:W/%22601fc8f5-33af%22	https://ngantenstory.id/wp-content/plugins/loftloader/assets/css/loftloader.min.css?ver=2021012401	C:/My%20Web%20Sites/coba/ngantenstory.id/wp-content/plugins/loftloader/assets/css/loftloader.min4dcb.css	(from https://ngantenstory.id/khairina-elyas2/?u=Lintang+dan+Partner)
17:00:38	59010/59010	---MCZ	200	added ('OK')	text/css	etag:W/%225fd06cc8-e682%22	https://ngantenstory.id/wp-includes/css/dashicons.min.css?ver=5.7	C:/My%20Web%20Sites/coba/ngantenstory.id/wp-includes/css/dashicons.mine23c.css	(from https://ngantenstory.id/khairina-elyas2/?u=Lintang+dan+Partner)
17:00:39	9647/9647	---MCZ	200	added ('OK')	application/javascript	etag:W/%226043c2b5-25af%22	https://ngantenstory.id/wp-content/plugins/popups-for-divi/scripts/ie-compat.min.js?ver=2.3.6	C:/My%20Web%20Sites/coba/ngantenstory.id/wp-content/plugins/popups-for-divi/scripts/ie-compat.min9254.js	(from https://ngantenstory.id/khairina-elyas2/?u=Lintang+dan+Partner)
17:00:39	89496/89496	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fd06cc8-15d98%22	https://ngantenstory.id/wp-includes/js/jquery/jquery.min.js?ver=3.5.1	C:/My%20Web%20Sites/coba/ngantenstory.id/wp-includes/js/jquery/jquery.min9d52.js	(from https://ngantenstory.id/khairina-elyas2/?u=Lintang+dan+Partner)
17:00:39	11224/11224	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fd06cc8-2bd8%22	https://ngantenstory.id/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/My%20Web%20Sites/coba/ngantenstory.id/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://ngantenstory.id/khairina-elyas2/?u=Lintang+dan+Partner)
17:00:40	35210/35210	---MCZ	200	added ('OK')	application/javascript	etag:W/%226043c2b7-898a%22	https://ngantenstory.id/wp-content/plugins/wonderplugin-audio/engine/wonderpluginaudioskins.js?ver=10.6C	C:/My%20Web%20Sites/coba/ngantenstory.id/wp-content/plugins/wonderplugin-audio/engine/wonderpluginaudioskins9297.js	(from https://ngantenstory.id/khairina-elyas2/?u=Lintang+dan+Partner)
